dt,seed,sparsity_exact,rationality_exact
0.18,21,False,True
0.18,22,False,True
0.18,23,False,True
0.18,24,False,True
0.18,25,False,True
0.18,26,False,True
0.18,27,False,True
0.18,28,False,True
0.18,29,False,True
0.2,0,False,True
0.2,1,False,True
0.2,2,False,True
0.2,3,False,True
0.2,4,False,True
0.2,5,False,True
0.2,6,False,True
0.2,7,False,True
0.2,8,False,True
0.2,9,False,True
0.2,10,False,True
0.2,11,False,True
0.2,12,False,True
0.2,13,False,True
0.2,14,False,True
0.2,15,False,True
0.2,16,False,True
0.2,17,False,True
0.2,18,False,True
0.2,19,False,True
0.2,20,False,True
0.2,21,False,True
0.2,22,False,True
0.2,23,False,True
0.2,24,False,True
0.2,25,False,True
0.2,26,False,True
0.2,27,False,True
0.2,28,False,True
0.2,29,False,True
0.22,0,False,True
0.22,1,False,True
0.22,2,False,True
0.22,3,False,True
0.22,4,False,True
0.22,5,False,True
0.22,6,False,True
0.22,7,False,True
0.22,8,False,True
0.22,9,False,True
0.22,10,False,True
0.22,11,False,True
0.22,12,False,True
0.22,13,False,True
0.22,14,False,True
0.22,15,False,True
0.22,16,False,True
0.22,17,False,True
0.22,18,False,True
0.22,19,False,True
0.22,20,False,True
0.22,21,False,True
0.22,22,False,True
0.22,23,False,True
0.22,24,False,True
0.22,25,False,True
0.22,26,False,True
0.22,27,False,True
0.22,28,False,True
0.22,29,False,True
0.25,0,False,True
0.25,1,False,True
0.25,2,False,True
0.25,3,False,True
0.25,4,False,True
0.25,5,False,True
0.25,6,False,True
0.25,7,False,True
0.25,8,False,True
0.25,9,False,True
0.25,10,False,True
0.25,11,False,True
0.25,12,False,True
0.25,13,False,True
0.25,14,False,True
0.25,15,False,True
0.25,16,False,True
0.25,17,False,True
0.25,18,False,True
0.25,19,False,True
0.25,20,False,True
0.25,21,False,True
0.25,22,False,True
0.25,23,False,True
0.25,24,False,True
0.25,25,False,True
0.25,26,False,True
0.25,27,False,True
0.25,28,False,True
0.25,29,False,True
0.28,0,False,True
0.28,1,False,True
0.28,2,False,True
0.28,3,False,True
0.28,4,False,True
0.28,5,False,True
0.28,6,False,True
0.28,7,False,True
0.28,8,False,True
0.28,9,False,True
0.28,10,False,True
0.28,11,False,True
0.28,12,False,True
0.28,13,False,True
0.28,14,False,True
0.28,15,False,True
0.28,16,False,True
0.28,17,False,True
0.28,18,False,True
0.28,19,False,True
0.28,20,False,True
0.28,21,False,True
0.28,22,False,True
0.28,23,False,True
0.28,24,False,True
0.28,25,False,True
0.28,26,False,True
0.28,27,False,True
0.28,28,False,True
0.28,29,False,True
0.3,0,False,True
0.3,1,False,True
0.3,2,False,True
0.3,3,False,True
0.3,4,False,True
0.3,5,False,True
0.3,6,False,True
0.3,7,False,True
0.3,8,False,True
0.3,9,False,True
0.3,10,False,True
0.3,11,False,True
0.3,12,False,True
0.3,13,False,True
0.3,14,False,True
0.3,15,False,True
0.3,16,False,True
0.3,17,False,True
0.3,18,False,True
0.3,19,False,True
0.3,20,False,True
0.3,21,False,True
0.3,22,False,True
0.3,23,False,True
0.3,24,False,True
0.3,25,False,True
0.3,26,False,True
0.3,27,False,True
0.3,28,False,True
0.3,29,False,True
